tag,name,tag_type,data_type,unit,range_min,range_max,op_min,op_max,step_size,max_delta,on_off_dependencies,derived,agg_method,silica_model_features
iron_feed,% Iron Feed,input,numeric,%,45,65,,,,,,,mean,Y
silica_feed,% Silica Feed,input,numeric,%,2,30,,,,,,,mean,Y
starch_flow,Starch Flow,control,numeric,cc/min,2000,6000,3000,4000,200,800,,FALSE,mean,Y
amina_flow,Amina Flow,control,numeric,cc/min,300,700,450,650,50,100,,FALSE,mean,Y
ore_pulp_flow,Ore Pulp Flow,control,numeric,cc/min,370,410,400,410,2,10,,FALSE,mean,Y
ore_pulp_ph,Ore Pulp pH,control,numeric,ph,9,11,9.5,10.5,0.05,0.4,,FALSE,mean,Y
ore_pulp_density,Ore Pulp Density,control,numeric,density,1.5,1.8,1.65,1.75,,0.1,,FALSE,mean,Y
air_flow01,Flotation Column 01 Air Flow,input,numeric,cc/min,200,300,,,,,,,mean,
air_flow02,Flotation Column 02 Air Flow,input,numeric,cc/min,200,300,,,,,,,mean,
air_flow03,Flotation Column 03 Air Flow,input,numeric,cc/min,200,300,,,,,,,mean,
air_flow04,Flotation Column 04 Air Flow,input,numeric,cc/min,200,300,,,,,,,mean,
air_flow05,Flotation Column 05 Air Flow,input,numeric,cc/min,200,300,,,,,,,mean,
air_flow06,Flotation Column 06 Air Flow,input,numeric,cc/min,200,300,,,,,,,mean,
air_flow07,Flotation Column 07 Air Flow,input,numeric,cc/min,200,300,,,,,,,mean,
column_level01,Flotation Column 01 Level,input,numeric,cc/min,200,800,,,,,,,mean,
column_level02,Flotation Column 02 Level,input,numeric,cc/min,200,800,,,,,,,mean,
column_level03,Flotation Column 03 Level,input,numeric,cc/min,200,800,,,,,,,mean,
column_level04,Flotation Column 04 Level,input,numeric,cc/min,200,800,,,,,,,mean,
column_level05,Flotation Column 05 Level,input,numeric,cc/min,200,800,,,,,,,mean,
column_level06,Flotation Column 06 Level,input,numeric,cc/min,200,800,,,,,,,mean,
column_level07,Flotation Column 07 Level,input,numeric,cc/min,200,800,,,,,,,mean,
iron_conc,% Iron Concentrate,input,numeric,%,62,78,,,,,,,mean,
silica_conc,% Silica Concentrate,output,numeric,%,1,4,,,,,,,mean,
total_air_flow,Total air flow,control,numeric,cc/min,0,2100,1000,2000,100,500,,FALSE,mean,Y
total_column_level,total column level,control,numeric,cc/min,0,5000,1000,5000,200,1000,,FALSE,mean,Y
iron_minus_silica,Iron feed - Silica feed,input,numeric,%,15,60,,,,,,,mean,
feed_diff_divide_silica,feed_diff divide by silica feed,input,numeric,,0,50,,,,,,,mean,Y
silica_conc_lagged,% Silica Concentrate lagged,input,numeric,%,1,5,,,,,,,mean,
